Time (s),White pixels,Mean Brightness
1.633000,0.000076,50.392157
1.831000,0.000381,50.392157
2.032000,0.000305,50.392157
2.232000,0.000610,50.392157
2.431000,0.000458,50.392157
2.632000,0.000153,50.392157
2.832000,0.000381,50.392157
3.032000,0.000305,50.392157
3.231000,0.000687,50.392157
3.432000,0.000305,50.392157
3.632000,0.000381,50.588235
3.831000,0.000610,50.392157
4.032000,0.000153,50.392157
4.231000,0.000610,50.392157
4.431000,0.000610,50.392157
4.631000,0.000839,50.392157
4.831000,0.000534,50.392157
5.031000,0.000610,50.392157
5.231000,0.000687,50.392157
5.431000,0.000763,50.392157
5.632000,0.000305,50.392157
5.831000,0.000610,50.392157
6.031000,0.000687,50.392157
6.231000,0.000610,50.392157
6.431000,0.000534,50.392157
6.631000,0.000763,50.392157
6.832000,0.000381,50.392157
7.032000,0.000458,50.392157
7.231000,0.000381,50.392157
7.432000,0.000763,50.392157
7.631000,0.000534,50.392157
7.831000,0.000534,50.392157
8.031000,0.000381,50.392157
8.231000,0.000458,50.392157
8.431000,0.000534,50.392157
8.631000,0.000381,50.392157
8.832000,0.000763,50.392157
9.031000,0.000534,50.392157
9.231000,0.000534,50.392157
9.431000,0.000000,40.980392
9.632000,0.000000,36.470588
9.832000,0.091324,51.176471
10.031000,0.153275,50.588235
10.231000,0.412140,50.196078
10.432000,1.010666,50.000000
10.631000,1.225052,50.588235
10.831000,0.000000,49.215686
11.031000,0.000000,17.058824
11.231000,0.432968,51.764706
11.431000,9.578171,53.725490
11.632000,24.983902,58.039216
11.831000,17.368851,54.705882
12.031000,12.629089,55.098039
12.231000,8.780594,55.098039
12.431000,5.448761,55.294118
12.631000,4.476166,57.450980
12.832000,3.549118,53.725490
13.031000,4.433823,53.725490
13.231000,1.926041,58.823529
13.432000,2.630005,58.627451
13.631000,2.945328,60.588235
13.832000,4.383087,56.274510
14.031000,5.213470,61.568627
14.231000,3.369522,62.745098
14.431000,5.510788,62.156863
14.631000,6.398087,62.156863
14.832000,2.224731,60.000000
15.031000,3.231125,53.921569
15.232000,6.800308,54.117647
15.432000,4.824448,52.941176
15.631000,4.044724,52.941176
15.831000,2.092438,54.117647
16.032000,0.000000,35.098039
16.231000,0.000000,37.058824
16.432000,1.333389,52.941176
16.631000,4.026489,52.156863
16.831000,4.788971,52.156863
17.031000,3.893356,52.549020
17.232000,1.986923,52.941176
17.432000,3.427124,52.941176
17.631000,2.252579,52.745098
17.831000,2.159653,52.745098
18.031000,2.831039,53.921569
18.231000,1.169891,51.960784
18.431000,0.634460,52.352941
18.631000,0.477066,51.764706
18.832000,0.717468,51.960784
19.031000,0.713043,51.764706
19.231000,0.697250,51.568627
19.431000,0.648117,51.568627
19.631000,0.423584,51.568627
19.831000,0.620575,51.764706
20.031000,0.585098,52.156863
20.231000,0.725937,52.352941
20.432000,0.972519,52.745098
20.631000,1.050568,52.941176
20.832000,1.050873,52.941176
21.032000,0.926437,51.372549
21.231000,0.000000,40.196078
21.432000,0.849304,52.549020
21.631000,0.712891,52.549020
21.831000,0.843201,52.352941
22.032000,0.945435,52.549020
22.231000,0.969086,52.549020
22.432000,0.925980,52.549020
22.631000,0.913391,52.745098
22.831000,0.849152,52.745098
23.031000,0.743027,52.745098
23.232000,0.618744,52.745098
23.431000,0.504074,52.745098
23.631000,0.489426,52.745098
23.832000,0.462570,52.745098
24.032000,0.648575,52.745098
24.231000,0.874329,52.352941
24.431000,1.063004,52.549020
24.632000,1.092606,53.137255
24.832000,1.568680,53.921569
25.032000,18.024445,58.039216
25.231000,15.189819,58.627451
25.431000,24.248657,60.980392
25.631000,22.834473,60.588235
25.831000,26.679001,61.568627
26.031000,27.241364,61.960784
26.231000,26.905441,61.960784
26.432000,26.124039,61.764706
26.631000,26.124954,61.764706
26.831000,26.154175,61.764706
27.031000,25.599976,61.764706
27.231000,25.976639,61.764706
27.431000,26.907272,62.156863
27.631000,39.261932,63.137255
27.831000,51.044998,66.470588
28.031000,59.592056,68.823529
28.231000,60.041351,69.019608
28.432000,61.679382,69.019608
28.632000,62.024765,69.215686
28.831000,61.322250,69.411765
29.032000,63.153381,69.411765
29.231000,65.857925,70.000000
29.431000,72.069550,72.549020
29.631000,81.798019,80.000000
29.831000,86.703568,82.745098
30.031000,89.976959,84.705882
30.231000,92.855377,86.078431
30.431000,94.036484,88.039216
30.632000,94.327164,88.235294
30.831000,96.217117,89.803922
31.031000,97.934341,90.980392
31.232000,99.339294,92.745098
31.432000,99.838409,95.098039
31.632000,99.966278,96.862745
31.831000,99.989090,97.450980
32.031000,99.984436,96.470588
32.231000,99.960403,95.098039
32.432000,99.962311,95.294118
32.631000,99.897537,95.882353
32.831000,99.778137,95.490196
33.031000,99.807892,95.490196
33.231000,99.828873,94.313725
33.431000,99.730453,93.137255
33.631000,98.205261,90.588235
33.831000,96.018143,89.607843
34.031000,95.202103,88.431373
34.231000,94.787827,86.666667
34.431000,95.048981,87.058824
34.631000,95.094681,86.666667
34.831000,94.983902,85.490196
35.032000,94.731445,84.705882
35.231000,94.140549,84.117647
35.431000,93.824539,83.333333
35.632000,93.147736,83.137255
35.831000,93.370056,83.137255
36.032000,93.761444,83.921569
36.231000,94.911957,88.039216
36.431000,99.711533,93.529412
36.632000,99.982834,96.470588
36.832000,99.989624,96.666667
37.031000,100.000000,100.000000
37.232000,99.999924,99.803922
37.432000,100.000000,100.000000
37.631000,99.300003,91.568627
37.831000,99.663239,91.176471
38.031000,99.724121,92.352941
38.231000,99.943237,94.509804
38.431000,99.971161,94.705882
38.631000,99.986191,94.509804
38.832000,99.979095,95.882353
39.032000,99.822693,94.117647
39.231000,94.334946,85.098039
39.431000,47.196884,70.392157
39.631000,15.859985,61.372549
39.831000,8.982773,58.823529
40.031000,7.776260,58.431373
40.231000,7.952042,58.627451
40.431000,11.174469,59.607843
40.631000,13.398209,60.784314
40.832000,13.028030,60.588235
41.032000,13.034592,60.588235
41.231000,12.248154,60.392157
41.432000,12.631302,60.000000
41.631000,10.147781,59.019608
41.831000,7.677689,58.235294
42.031000,15.473480,60.784314
42.231000,22.395172,64.117647
42.431000,38.622360,68.235294
42.631000,29.973221,66.666667
42.831000,29.321136,66.470588
43.032000,29.074707,66.666667
43.232000,30.098724,66.862745
43.431000,34.231491,67.254902
43.631000,32.558899,67.058824
43.831000,21.187668,64.117647
44.032000,6.154480,58.431373
44.231000,1.620178,56.274510
44.432000,1.596680,56.078431
44.631000,1.668320,56.078431
44.831000,27.038727,66.470588
45.031000,29.429321,67.450980
45.231000,29.266510,67.450980
45.431000,28.142853,67.058824
45.631000,28.201294,66.666667
45.831000,2.033615,56.470588
46.031000,1.778870,56.078431
46.231000,1.675110,56.274510
46.431000,1.597824,56.078431
46.631000,1.569443,56.274510
46.831000,2.012100,57.254902
47.032000,49.478531,70.980392
47.231000,47.865753,70.784314
47.431000,49.675751,70.784314
47.632000,51.546173,71.372549
47.831000,52.054825,71.568627
48.032000,42.304230,69.803922
48.231000,3.465958,58.039216
48.432000,1.993256,56.470588
48.632000,2.008896,56.666667
48.831000,3.467102,58.039216
49.032000,96.354446,88.823529
49.231000,93.489990,86.274510
49.432000,92.669907,85.490196
49.632000,89.645309,84.117647
49.832000,1.560974,55.882353
50.031000,1.502609,55.882353
50.232000,1.573105,55.882353
50.431000,1.682968,56.274510
50.632000,69.104385,75.686275
50.832000,89.393387,83.137255
51.031000,89.523010,82.941176
51.231000,80.560150,80.588235
51.432000,2.001801,57.254902
51.632000,1.392517,56.078431
51.832000,1.393204,56.078431
52.031000,19.030457,63.333333
52.231000,82.420120,80.980392
52.432000,44.331436,68.823529
52.631000,1.368179,56.078431
52.832000,1.396179,55.882353
53.031000,6.669388,57.843137
53.232000,3.560104,55.098039
53.431000,1.183243,53.529412
53.631000,3.395920,54.509804
53.832000,1.011276,53.921569
54.031000,0.804672,52.941176
54.231000,0.711975,52.745098
54.431000,0.574875,52.745098
54.631000,0.355530,52.549020
54.832000,0.036392,53.333333
55.031000,0.000000,36.666667
55.231000,0.000000,35.882353
55.431000,0.000000,39.215686
55.632000,0.000000,40.000000
55.831000,0.000000,50.980392
56.031000,0.000000,50.784314
56.231000,0.058060,52.549020
56.432000,0.302963,53.137255
56.631000,0.000000,51.960784
56.832000,2.232590,53.725490
57.031000,5.770035,53.725490
57.231000,5.009918,52.745098
57.431000,5.259933,53.529412
57.631000,1.703186,52.745098
57.831000,0.351028,52.549020
58.032000,0.752563,52.745098
58.231000,0.175095,52.549020
58.431000,3.385773,52.941176
58.631000,4.834137,54.117647
58.831000,11.124573,53.529412
59.031000,34.847641,51.764706
59.231000,0.000000,43.725490
59.432000,17.946014,50.784314
59.631000,23.788452,51.176471
59.832000,27.356415,51.372549
60.032000,26.585159,51.176471
60.231000,25.915222,51.176471
60.431000,28.950043,51.372549
60.632000,28.153000,51.372549
60.831000,28.755951,51.568627
61.031000,32.296753,51.176471
61.231000,33.614807,51.372549
61.431000,34.122467,51.372549
61.631000,33.344498,51.372549
61.831000,33.127213,51.372549
62.031000,31.876297,51.372549
62.231000,31.811905,51.176471
62.431000,31.028976,51.372549
62.631000,30.887985,51.372549
62.831000,31.459427,51.372549
63.031000,31.612396,51.372549
63.231000,32.084122,51.372549
63.431000,32.220840,51.372549
63.632000,32.727432,51.176471
63.831000,32.769165,51.372549
64.032000,32.224655,51.372549
64.232000,31.695099,51.372549
64.431000,31.355286,51.372549
64.631000,31.359253,51.372549
64.831000,31.345062,51.176471
65.031000,31.192245,51.372549
65.231000,31.144943,51.372549
65.432000,31.224289,51.372549
65.632000,31.377792,51.176471
65.831000,31.418152,51.372549
66.031000,31.567230,51.372549
66.231000,31.467896,51.176471
66.431000,31.320953,51.372549
66.632000,31.627808,51.372549
66.831000,31.287155,51.372549
67.031000,31.240387,51.176471
67.231000,31.225433,51.372549
67.432000,31.368713,51.176471
67.632000,31.374130,51.372549
67.831000,31.108170,51.176471
68.031000,31.104965,51.372549
68.231000,31.208267,51.176471
68.431000,31.406097,51.372549
68.631000,31.494522,51.176471
68.832000,31.609192,51.372549
69.031000,31.342316,51.176471
69.231000,31.266556,51.372549
69.431000,31.247101,51.176471
69.631000,31.108398,51.176471
69.831000,30.927048,51.372549
70.031000,30.880432,51.372549
70.232000,31.021118,51.372549
70.432000,31.084671,51.372549
70.631000,30.932236,51.372549
70.831000,30.919724,51.372549
71.031000,31.007462,51.372549
71.231000,31.158371,51.372549
71.432000,31.503448,51.372549
71.631000,31.160202,51.372549
71.831000,31.052322,51.372549
72.032000,31.159515,51.372549
72.231000,30.911789,51.372549
72.431000,30.932159,51.372549
72.632000,31.086502,51.176471
72.832000,31.015320,51.176471
73.031000,30.953903,51.372549
73.232000,31.180191,51.176471
73.431000,31.127090,51.372549
73.631000,31.132965,51.372549
73.831000,31.202393,51.372549
74.032000,31.310501,51.176471
74.231000,31.433716,51.372549
74.431000,31.573563,51.372549
74.631000,31.457748,51.176471
74.831000,31.395340,51.176471
75.031000,31.388550,51.176471
75.232000,31.253204,51.372549
75.431000,31.388931,51.176471
75.632000,31.233292,51.372549
75.831000,31.265106,51.372549
76.032000,31.007614,51.176471
76.232000,31.048355,51.372549
76.431000,31.331406,51.372549
76.631000,31.169281,51.372549
76.831000,30.809937,51.372549
77.031000,30.703125,51.372549
77.231000,30.523987,51.372549
77.431000,30.525131,51.372549
77.631000,30.434952,51.176471
77.831000,30.417938,51.372549
78.032000,30.170135,51.372549
78.231000,30.403519,51.372549
78.432000,30.286560,51.176471
78.631000,30.472488,51.372549
78.832000,30.253601,51.372549
79.032000,30.481186,51.372549
79.232000,30.845795,51.176471
79.432000,30.937195,51.372549
79.632000,31.099548,51.372549
79.832000,31.230469,51.372549
80.032000,31.205063,51.372549
80.230000,31.536789,51.176471
80.432000,31.291428,51.372549
80.632000,31.188736,51.372549
80.833000,31.114044,51.372549
81.032000,31.166000,51.372549
81.232000,31.324692,51.372549
81.431000,31.394882,51.568627
81.632000,31.220398,51.372549
81.832000,31.224289,51.372549
82.032000,31.186523,51.372549
82.231000,31.343918,51.372549
82.431000,31.325226,51.372549
82.631000,31.409531,51.372549
82.831000,31.513901,51.372549
83.031000,31.575241,51.372549
83.232000,31.658783,51.372549
83.431000,31.540375,51.372549
83.632000,31.357803,51.372549
83.832000,31.344147,51.372549
84.031000,31.310730,51.372549
84.232000,31.301270,51.372549
84.431000,31.233521,51.372549
84.631000,31.223984,51.372549
84.832000,30.794449,51.372549
85.031000,30.803375,51.372549
85.232000,30.904236,51.372549
85.431000,31.005554,51.372549
85.631000,31.176224,51.372549
85.831000,31.540833,51.372549
86.032000,31.490707,51.372549
86.231000,31.326904,51.372549
86.431000,31.233444,51.372549
86.632000,30.908432,51.372549
86.831000,30.972290,51.372549
87.033000,30.911179,51.372549
87.232000,30.950089,51.372549
87.432000,30.987930,51.372549
87.631000,31.140137,51.372549
87.832000,31.293030,51.176471
88.031000,31.283188,51.372549
88.232000,31.485672,51.372549
88.432000,31.599731,51.176471
88.631000,31.525879,51.372549
88.831000,31.460266,51.372549
89.031000,31.391678,51.176471
89.231000,31.269379,51.372549
89.432000,31.466675,51.372549
89.631000,31.355515,51.372549
89.831000,31.185913,51.372549
90.031000,31.085739,51.372549
90.231000,31.070023,51.372549
90.431000,31.043091,51.176471
90.631000,31.197968,51.372549
90.832000,31.469574,51.372549
91.031000,31.513290,51.372549
91.231000,31.505585,51.372549
91.431000,31.439438,51.372549
91.631000,31.298676,51.176471
91.831000,31.173325,51.176471
92.031000,31.160583,51.372549
92.231000,31.147232,51.372549
92.431000,31.141815,51.372549
92.631000,31.119461,51.372549
92.831000,31.278458,51.372549
93.032000,31.631927,51.372549
93.231000,34.769592,51.372549
93.432000,35.950470,51.568627
93.631000,32.708054,53.921569
93.831000,29.627151,54.117647
94.031000,32.955551,53.529412
94.231000,35.297012,51.960784
94.432000,34.512634,52.352941
94.631000,33.733902,52.941176
94.831000,31.687546,53.921569
95.031000,28.138123,53.921569
95.231000,23.439255,56.666667
95.431000,21.978149,56.078431
95.632000,26.876602,55.882353
95.831000,22.952576,56.078431
96.031000,25.145721,54.313725
96.232000,26.898651,54.705882
96.431000,26.947784,54.509804
96.631000,30.274582,52.352941
96.832000,29.912415,52.745098
97.032000,30.289688,52.549020
97.231000,30.185623,52.352941
97.431000,30.044479,52.352941
97.632000,30.196457,52.352941
97.831000,29.879913,52.549020
98.032000,30.026169,52.549020
98.231000,30.142899,52.352941
98.433000,30.585327,52.352941
98.630000,30.370789,52.156863
98.831000,30.545044,52.156863
99.031000,30.662766,52.352941
99.232000,30.991287,52.156863
99.432000,30.334930,52.549020
99.632000,19.258804,55.490196
99.831000,3.506851,59.019608
100.032000,10.218201,64.705882
100.231000,19.564896,54.117647
100.432000,20.222397,53.529412
100.632000,19.180222,53.725490
100.831000,10.288620,54.313725
101.032000,12.094955,54.313725
101.232000,14.669418,53.137255
101.432000,21.871567,52.549020
101.631000,30.644531,51.568627
101.831000,29.426346,51.764706
102.031000,22.649002,52.352941
102.231000,23.085480,52.352941
102.432000,21.860046,52.156863
102.632000,15.800858,52.549020
102.831000,14.934387,52.156863
103.031000,25.177307,52.352941
103.231000,29.021149,52.549020
103.431000,26.239319,52.745098
103.631000,27.315598,53.725490
103.831000,28.596039,52.352941
104.031000,29.060059,52.156863
104.232000,29.867096,52.352941
104.431000,30.189590,52.156863
104.632000,31.541672,52.156863
